SOL,MINIMUM,MAXIMUM,MEDIAN,MEAN,MODE,STD
906,829.11,916.2,885.26,882.572530928295,829.3,26.0949828421373
1377,697.67,799.37,747.31,747.699855351289,744.19,32.7182741532409
1609,789.66,893.54,856.42,848.752921128991,880.71,28.1695552520036
408,841.65,921.64,888.62,885.155888735516,908.68,21.3751549980359
1140,867.35,929.32,903.03,901.923655844782,868.07,18.8917793283984
665,692.62,765.81,727.4,731.443585745321,754.59,21.0701845317452
905,829.21,919.47,892.98,883.58094872854,905.12,27.076855772312
1608,791.54,891.87,859.42,851.317861899247,791.73,27.4136399561838
1376,699.06,801.23,745.51,742.09615672074,699.22,33.1591029836667
407,840.49,921.76,896.31,888.258174333791,906.61,22.7783110777632
664,691.42,760.09,736.5,733.588484002134,759.92,20.6386055787282
1139,865.55,929.66,907.56,904.944570683662,919.16,18.6404553479725
406,839.67,920.51,868.07,875.653217863692,904.67,20.9027407738143
1607,788.08,889.82,860.7,850.635400389919,878.41,32.4639867744181
1375,699.22,799.87,740.69,739.391149934227,699.43,26.3860481140365
663,691.67,762.77,740.04,734.535654352407,754.16,22.7768321329668
1138,865.73,931.86,892.05,898.57119398694,865.94,24.1792132946625
405,838.92,921.55,905.13,901.08598266727,905.29,18.317453456756
1606,793.01,898.54,845.22,845.754327240115,898.33,33.6383701072422
662,690.82,765.25,739.27,732.475103193224,691.15,23.5204942966945
903,832.85,920.44,903.43,889.972651506374,920.06,24.5404477294516
1374,698.04,796.3,740.62,743.876097262873,763.14,30.8601658291551
404,838.92,920.7,903.2,888.134873590544,904.41,22.9932182253599
1137,865.76,931.09,894.11,899.866688567674,922.04,22.8174287055509
1605,789,889.45,866.45,854.36437429937,872.35,28.5406945890602
661,690.85,765.07,732.79,731.822373787926,691.1,24.5878982899649
1136,864.79,931.07,883.88,884.617905244982,894.54,14.9363048489476
902,831.23,923.22,902.78,890.973644264193,922.86,26.7248169268528
403,837.68,919.57,892.2,886.006586805221,905.55,23.7749261272004
1373,694.88,794.34,733.22,739.284024623407,762.5,30.498670089367
660,690.03,766.35,749.94,733.869878425051,755.19,25.4805514586691
1135,865.27,932.31,908.46,906.033508496217,920.41,17.1623572760679
1604,791.59,901.25,869.02,858.745350758156,883.48,30.1637464040681
1372,696.33,792.07,743.67,745.373005520911,743.82,28.3465018262879
901,832.29,923.78,890.415,887.447435675331,915.4,26.2713557323114
402,837.95,919.05,888.85,884.091292887141,903.5,22.4869476304624
