SOL,MINIMUM,MAXIMUM,MEDIAN,MEAN,MODE,STD
1603,0.58,11.45,1.62,3.93408850383894,0.62,3.65455648571932
900,0.45,9.51,1.32,3.11355585568206,0.7,2.6457921882895
1371,0.54,29.17,2.69,3.50043558614536,0.59,3.24512497868046
401,1.02,12.97,6.27,5.6291338071359,8.26,3.07513831769332
658,0.88,25.96,3.09,4.35384156869197,0.98,4.24703127221231
1133,1.18,16.12,2.41,4.01938132039793,1.28,3.40734508704274
1602,0.57,12.76,3.87,4.9290009334063,1.1,4.04061307196415
657,0.76,22.23,3.03,4.26030369980717,0.82,3.84960786902331
899,0.47,12.35,1.26,2.60513982642235,0.71,2.5630174264945
1132,1.29,15.82,4.39,5.09562913635055,1.53,2.8828050315976
1370,0.53,32.55,3.07,3.78640477358185,0.58,3.59692251854241
1601,0.63,10.83,7.09,5.88895768694637,0.74,3.20364859560053
656,0.66,27.59,4.14,5.36065245955487,1.02,4.63692417407267
898,0.41,12.34,0.99,2.39323196605379,0.45,2.37452280227686
1131,1.16,16.89,3.08,3.95002178738798,4.28,2.59083407894103
399,1.1,14.81,2.77,3.74980883136419,1.3,2.62752613357289
1600,0.71,16.25,2.19,3.21777521394984,0.74,2.69769045483453
1369,0.56,17.37,3.02,4.60240792079202,1.19,4.29040047056455
655,0.68,24.4,1.97,5.2388411506422,1.27,5.35750059966385
1130,1.17,14.83,4.27,4.10129737375035,1.2,2.26166151921635
897,0.43,13.22,0.95,2.35208512238691,0.49,2.47779213742532
398,1.08,16.07,2.705,3.81102824221929,2.02,2.79101056659725
654,0.73,34.95,2.18,6.28516740106244,2.06,6.4260159109185
1368,0.77,23.89,4.43,4.91505698790636,0.92,4.18306113944285
1129,1.27,17.79,2.93,4.24944687165115,1.34,2.98669967188064
653,0.78,33.57,2.99,5.16773000082215,1.19,5.37101506212366
896,0.46,14.79,1.04,2.67424250971542,0.73,2.98211838183807
1598,0.59,12.03,2.88,3.49825457518064,0.85,2.48656876928002
1367,0.79,20.3,4.5,4.703225778371,0.96,3.50905190469856
652,0.79,44.22,2.95,5.05781066304929,1.42,6.089222727827
895,0.65,10.72,1.32,2.64496213336759,0.7,2.53265331999792
1128,1.4,17.19,4.27,4.87822193362193,1.44,3.25011443109527
396,0.9,15.52,1.46,3.60467401687629,1.45,3.6451980651334
1597,0.53,8.69,1.71,2.6413809626747,0.56,2.17083268944912
1366,0.83,16.26,2.69,3.94600692690667,0.93,3.13163901606881
651,0.75,37.7,1.94,5.45960781089414,0.78,6.14443829726694
1127,1.7,16.34,4.24,5.06837618661454,1.87,3.03014358917901
894,0.67,10.5,1.79,3.01012418363737,0.74,2.3784685103692
1596,0.52,13.02,1.97,3.95881976182812,0.68,3.63571930777871
395,1.08,19.49,2.3,4.55310862479628,1.64,3.68633786531958
650,0.87,35.46,3.62,6.12904325552878,0.9,6.15134397406949
1365,0.79,24.5,2.95,3.71497242038686,1.34,2.97840601829002
1126,1.38,17.62,3.5,3.91111252201695,1.57,2.62418887372032
893,0.72,12.28,1.19,2.69324923211932,0.94,2.52104138434118
649,0.92,24.65,2.12,5.8331677197013,1.13,5.75758068490768
1595,0.54,10.84,1.97,4.02093687321861,0.6,3.3424492151296
394,0.93,20.2,2.93,3.56767059401078,1.01,3.12575937293999
1364,0.77,22.39,3,3.87286785241802,0.82,3.46257077137143
1125,1.35,15.18,2.64,3.72042221603785,1.39,2.49186886915011
648,0.95,27.72,3.86,6.75156501340482,1.65,5.8956696228341
1594,0.54,16.73,1.86,3.29282967132086,0.77,3.28219032592229
892,0.68,12.58,2.42,2.93399695831943,0.93,2.34002191079296
393,0.97,20.08,1.75,3.17316838509516,1.05,2.95722819835703
1124,1.38,22.4,2.22,4.70411414493941,1.41,3.86105229171032
1363,0.85,19.32,4.27,5.543598498219,1.39,4.77567237391253
647,1.05,29.1,3.18,5.91164117912343,1.17,5.54564039701653
1593,0.53,19.36,2.18,2.92492509197943,0.57,2.8118402000576
1123,1.45,21.88,2.32,5.09047190825839,1.51,4.11545299071855
392,0.93,15.93,1.93,3.51683861646975,1.05,2.95117293237095
891,0.78,11.06,2.31,2.6533342995449,0.88,1.91821503421502
1362,0.92,18.2,5.52,6.45807366975133,1.31,4.80081702311477
646,0.78,23.15,2.4,4.62199453453667,0.95,4.84836058867454
1592,0.56,16.29,1.63,2.71006913798182,0.61,2.66574501670006
1122,1.44,20.22,2.31,5.11187497528766,1.81,3.96516698670448
890,0.66,11.45,2.29,2.33661255411252,0.98,1.70816059285239
391,0.97,17.45,1.83,3.543067787906,1.8,3.07915095407881
1361,0.79,16.63,4.69,5.55413532868753,0.9,4.22956700400354
645,0.64,43.49,4.33,6.55618465201859,0.68,6.94775896537083
1591,0.63,15.55,1.31,3.36940782364378,0.77,3.63234386158184
1121,1.42,21.95,7.91,6.48556371867676,1.61,4.35197751935279
889,0.59,11.24,1.14,2.23879987037303,0.68,1.99669734783753
390,0.99,15.67,1.98,3.77499162910495,1.03,3.35628343139706
644,0.71,26.98,5.7,6.16296966802006,0.74,5.38817304958319
1360,0.71,23.96,1.89,3.43295728407533,0.77,3.63120281270436
1590,0.67,16.39,1.77,4.6118015113882,0.96,4.34663542141134
888,0.64,12,2.1,2.62052861010416,0.91,2.03673497063375
643,0.74,28.5,2.19,5.97576263537902,0.88,6.41378370002226
1120,1.42,20.58,2.81,4.38999561636973,1.5,3.58968589096903
389,0.94,19.39,2.1,4.3462292538606,0.98,4.01540834028751
1359,0.6,23.45,1.89,3.88530863306754,0.7,4.17004671004879
1589,0.73,15.76,1.76,4.59244430872094,0.8,4.35592866128572
642,0.82,28.47,5.125,6.85731325416585,1.61,5.79097213842676
887,0.6,11.41,2.68,2.92512408208283,0.85,2.18770653032797
1119,1.41,21.47,2.4,4.38910871009479,1.45,3.72951661301579
1358,0.64,18.37,3.19,5.09589162668205,0.7,4.78682365870471
388,1,17.79,4.1,4.7264740392319,1.34,2.8149757814572
1588,0.53,21.84,2.31,3.67938893968915,0.74,3.52401851595529
641,0.83,33.26,2.73,5.58733694083693,1.24,6.28640829755997
886,0.65,12.46,2.6,3.72106284724723,0.78,2.77890592241718
1357,0.79,18.23,1.72,4.18573643659708,0.93,3.78606378152668
387,1.06,18.49,3.27,3.84977967907736,1.36,2.64804026981104
640,0.78,38.54,4.07,5.6123913669065,0.84,5.99830986786561
1118,1.39,21.18,2.74,5.03165296517096,1.43,3.94238895189473
1587,0.42,18.91,2.28,2.75201834862387,0.59,2.54412725736111
885,0.6,12,2.59,3.20577768115937,0.95,2.39948058112261
639,0.79,34.08,4.83,5.59570459629124,0.83,4.96159384023009
1356,0.51,28.53,2.03,5.20758856629591,0.54,5.24111271666927
1117,1.54,20.54,2.24,5.01810703301213,1.57,3.89275857311867
1586,0.46,21.08,2.67,3.658650097287,0.52,3.42427062516144
386,1.07,18.82,3.01,3.70522343415589,1.22,2.83715977978189
884,0.57,11.53,2.92,3.155482496004,0.62,2.2484600568635
638,0.86,28.73,6.2,5.64433494053364,0.89,4.21384027269333
1355,0.64,25.22,2.53,5.08271134683388,0.9,4.6100155380134
1585,0.48,17.66,3.75,3.8650606050863,0.52,3.43918379183693
1116,1.65,18.68,2.19,4.95020112238135,2.16,3.99743029795598
385,0.77,16.44,5.11,4.35533978397843,0.81,2.88528408638063
637,0.95,23.15,2.36,5.63525998276357,1.72,4.94396963665859
883,0.66,10.93,2.93,3.17850724273031,0.71,2.49894511249486
1354,0.56,19.18,1.56,3.26443555126967,0.61,3.44176980395308
1584,0.51,15.04,3.68,4.10419958310248,0.63,3.68231195027365
1115,1.42,20.78,3.33,5.42066635382446,1.62,4.05374864638362
636,0.81,40.65,3.78,8.14465086268698,1.26,8.45572380162092
882,0.74,14.44,2.19,3.67234049404295,0.98,3.15318547386757
1583,0.53,15.42,3.96,4.80861129422109,0.56,3.73160143259531
1353,0.59,26.83,1.57,3.64259874859619,0.64,4.22673958125189
635,0.74,31.81,2.71,4.83839274117895,0.93,5.37230180397926
